조사년도,법인명,대표학교코드,대표학교명,대학구분,학교구분,지역,설립구분,관련법령,성별,주야구분,우편번호,주소,학교개교일,학교홈페이지,총장명,학교대표전화번호,학교대표팩스번호,학교상태
2017,순총학원,317,순복음총회신학교,대학,각종대학(대학),충북,사립,고등교육법,남녀공학,주야간,27223,충청북도 제천시 덕산면 도전로 320 (도전리),20100308,www.kcc.ac.kr,이상철,043-645-5571,043-642-4530,기존
2017,한국예술종합학교,383,한국예술종합학교,대학,각종대학(대학),서울,특별법국립,특별법국립,남녀공학,주간,2789,"서울특별시 성북구 화랑로32길 146-37 (석관동, 한국종합예술학교)",19921030,www.karts.ac.kr,김봉렬,02-746-9066,02-746-9069,기존
2017,경인교육대학교 법인,256,경인교육대학교,대학,교육대학,경기,국립,고등교육법,남녀공학,주간,13910,"경기도 안양시 만안구 삼막로 155 (석수동, 경인교육대학교)",20050301,www.ginue.ac.kr,이재희,031-470-6114,031-470-6139,기존
2017,공주교육대학교 법인,251,공주교육대학교,대학,교육대학,충남,국립,고등교육법,남녀공학,주간,32553,"충청남도 공주시 웅진로 27 (봉황동, 공주교육대학교)",19380401,www.gjue.ac.kr,안병근,041-850-1377,041-850-1374,기존
2017,광주교육대학교 법인,252,광주교육대학교,대학,교육대학,광주,국립,고등교육법,남녀공학,주간,61204,"광주광역시 북구 필문대로 55 (풍향동, 광주교육대학교)",19630301,www.gnue.ac.kr,고재천(직무대리),062-520-4114,062-524-6022,기존
2017,대구교육대학교 법인,253,대구교육대학교,대학,교육대학,대구,국립,고등교육법,남녀공학,주간,42411,"대구광역시 남구 중앙대로 219 (대명동, 대구교육대학교)",19500325,www.dnue.ac.kr,임청환,053-620-1202,053-651-5369,기존
2017,부산교육대학교 법인,254,부산교육대학교,대학,교육대학,부산,국립,고등교육법,남녀공학,주간,47503,"부산광역시 연제구 교대로 24 (거제동, 부산교육대학교)",19460902,www.bnue.ac.kr,하윤수,051-500-7141,051-505-4908,기존
2017,서울교육대학교 법인,255,서울교육대학교,대학,교육대학,서울,국립,고등교육법,남녀공학,주간,6639,"서울특별시 서초구 서초중앙로 96 (서초동, 서울교육대학교)",19460522,www.snue.ac.kr,김경성,02-3475-2114,02-581-7711,기존
2017,전주교육대학교 법인,258,전주교육대학교,대학,교육대학,전북,국립,고등교육법,남녀공학,주간,55101,"전라북도 전주시 완산구 서학로 50 (동서학동, 전주교육대학교)",19630301,www.jnue.kr,최경희(총장직무대리),063-281-7114,063-281-0102,기존
2017,진주교육대학교 법인,260,진주교육대학교,대학,교육대학,경남,국립,고등교육법,남녀공학,주간,52673,"경상남도 진주시 진양호로369번길 3 (신안동, 진주교육대학교)",19630101,www.cue.ac.kr,최문성,055-740-1114,055-745-8741,기존
2017,청주교육대학교 법인,261,청주교육대학교,대학,교육대학,충북,국립,고등교육법,남녀공학,주간,28690,"충청북도 청주시 서원구 청남로 2065 (수곡동, 청주교육대학교)",19620217,www.cje.ac.kr,윤건영,043-299-0632,043-299-0797,기존
2017,춘천교육대학교 법인,262,춘천교육대학교,대학,교육대학,강원,국립,고등교육법,남녀공학,주간,24328,"강원도 춘천시 공지로 126 (석사동, 춘천교육대학교)",19390401,www.cnue.ac.kr,이면우,033-260-6165,033-260-6162,기존
2017,정보통신기능대학,579,ICT폴리텍대학,전문대학,기능대학,경기,사립,기능교육법,남녀공학,주간,12777,"경기도 광주시 순암로 16-26 (역동, 한국정보통신기능대학)",20021210,www.ict.ac.kr,이용석,031-764-3301~3302,031-762-3456,기존
2017,한국폴리텍,584,한국폴리텍 대학,전문대학,기능대학,서울,사립,근로자직업능력개발법,남녀공학,주야간,7684,"인천광역시 부평구 무네미로 478 (구산동, 한국폴리텍Ⅱ대학))",19980327,www.kopo.ac.kr,이인배,02-2186-5800,02-2186-5819,기존
2017,가천학원,63,가천대학교,대학,대학교,경기,사립,고등교육법,남녀공학,주야간,13120,"경기도 성남시 수정구 성남대로 1342 (복정동, 가천대학교)",20120301,www.gachon.ac.kr,이길여,031-750-5114,031-753-8828,기존
2017,인천가톨릭학원,72,가톨릭관동대학교,대학,대학교,강원,사립,고등교육법,남녀공학,주야간,25601,"강원도 강릉시 범일로579번길 24 (내곡동, 가톨릭관동대학교)",19550426,www.cku.ac.kr,천명훈,033-649-7114,033-649-7874,기존
2017,가톨릭학원,46,가톨릭대학교,대학,대학교,경기,사립,고등교육법,남녀공학,주야간,14662,"경기도 부천시 원미구 지봉로 43 (역곡동, 가톨릭대학교성심교정)",19950301,www.catholic.ac.kr,박영식,02-2164-4114,02-2164-4754,기존
2017,감리교신학원,50,감리교신학대학교,대학,대학교,서울,사립,고등교육법,남녀공학,주간,3745,"서울특별시 서대문구 독립문로 56 (냉천동, 감리교신학대학)",18870929,www.mtu.ac.kr,이환진,02-361-9257,02-361-9006,기존
2017,강남학원,51,강남대학교,대학,대학교,경기,사립,고등교육법,남녀공학,주야간,16979,"경기도 용인시 기흥구 강남로 40 (구갈동, 강남대학교)",19480812,www.kangnam.ac.kr,윤신일,031-280-3500,031-281-3604,기존
2017,강릉대학교 법인,1,강릉원주대학교,대학,대학교,강원,국립,고등교육법,남녀공학,주간,25457,"강원도 강릉시 죽헌길 7 (지변동, 강릉원주대학교)",19790301,www.gwnu.ac.kr,반선섭,033-642-7001,033-643-7110,기존
2017,강원대학교 법인,3,강원대학교,대학,대학교,강원,국립,고등교육법,남녀공학,주간,24341,"강원도 춘천시 강원대학길 1 (효자동, 강원대학교)",19700301,www.kangwon.ac.kr,김헌영,033-250-6114,033-251-9556,기존
2017,건국대학교,52,건국대학교,대학,대학교,서울,사립,고등교육법,남녀공학,주간,5029,"서울특별시 광진구 능동로 120 (화양동, 건국대학교)",19310515,www.konkuk.ac.kr,민상기,02-450-3114,02-450-3179,기존
2017,건양학원,54,건양대학교,대학,대학교,대전,사립,고등교육법,남녀공학,주야간,35365,"대전광역시 서구 관저동로 158 (관저동, 건양대학교병원)",19901128,www.konyang.ac.kr,김희수,041-730-5114,041-733-2070,기존
2017,경기학원,56,경기대학교,대학,대학교,경기,사립,고등교육법,남녀공학,주야간,16227,"경기도 수원시 영통구 광교산로 154-42 (이의동, 경기대학교)",19471108,www.kyonggi.ac.kr,김기언,031-249-9114,031-243-2194,기존
2017,진주산업대학교 법인,35,경남과학기술대학교,대학,대학교,경남,국립,고등교육법,남녀공학,주야간,52725,"경상남도 진주시 동진로 33 (칠암동, 경남과학기술대학교)",19100430,www.gntech.ac.kr,권진택,055-751-3114,055-752-9554,기존
2017,한마학원,59,경남대학교,대학,대학교,경남,사립,고등교육법,남녀공학,주간,51767,"경상남도 창원시 마산합포구 경남대학로 7 (월영동, 경남대학교)",19461227,www.kyungnam.ac.kr,박재규,055-245-5000,055-246-6184,기존
